Announcements 	,	npx shadcn@latest add "https://21st.dev/r/Codehagen/hero-pill"	,	npx shadcn@latest add "https://21st.dev/r/dubinc/banner"	 		  		 		 		 		 		 																
Backgrounds 	,	npx shadcn@latest add "https://21st.dev/r/DavidHDev/waves-background"	,	npx shadcn@latest add "https://21st.dev/r/danielpetho/animated-gradient-with-svg"	,	npx shadcn@latest add "https://21st.dev/r/magicui/animated-grid-pattern"	,	npx shadcn@latest add "https://21st.dev/r/magicui/retro-grid"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/hero-highlight"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/background-beams-with-collision"	,	npx shadcn@latest add "https://21st.dev/r/magicui/particles"	,	npx shadcn@latest add "https://21st.dev/r/serafimcloud/orb-effect"	 		 														
Borders 	,	npx shadcn@latest add "https://21st.dev/r/aceternity/moving-border"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/hover-border-gradient"	 		  		 		 		 		 		 		 														
Call to Action 	,	npx shadcn@latest add "https://21st.dev/r/kokonutd/button-shiny"	,	npx shadcn@latest add "https://21st.dev/r/mikolajdobrucki/cta-with-rectangle"	,	npx shadcn@latest add "https://21st.dev/r/magicui/interactive-hover-button"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/background-gradient-animation"	,	npx shadcn@latest add "https://21st.dev/r/bundui/magnetic-button"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/background-boxes"	,	npx shadcn@latest add "https://21st.dev/r/magicui/shiny-button"	 		 		 														
Clients 	,	npx shadcn@latest add "https://21st.dev/r/Codehagen/logo-carousel"	,	npx shadcn@latest add "https://21st.dev/r/lukacho/marquee"	,	npx shadcn@latest add "https://21st.dev/r/cult-ui/logo-carousel"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/animated-testimonials"	,	npx shadcn@latest add "https://21st.dev/r/motion-primitives/infinite-slider"	 		 		 		 		 														
Comparison 	,	npx shadcn@latest add "https://21st.dev/r/aceternity/compare"	,	npx shadcn@latest add "https://21st.dev/r/serafimcloud/feature-with-image-comparison"	,	npx shadcn@latest add "https://21st.dev/r/motion-primitives/image-comparison"	  		 		 		 		 		 		 		  		  		 								
Docks 	,	npx shadcn@latest add "https://21st.dev/r/anurag-mishra22/dock"	,	npx shadcn@latest add "https://21st.dev/r/anurag-mishra22/dock-two"	,	npx shadcn@latest add "https://21st.dev/r/magicui/dock"	,	npx shadcn@latest add "https://21st.dev/r/motion-primitives/dock"	 		 		 		 		 		 		  		  		 				 		 		
Features 	,	npx shadcn@latest add "https://21st.dev/r/DavidHDev/tilted-scroll"	,	npx shadcn@latest add "https://21st.dev/r/Ali-Hussein-dev/card"	,	npx shadcn@latest add "https://21st.dev/r/Ali-Hussein-dev/card-with-noise-patter"	,	npx shadcn@latest add "https://21st.dev/r/Ali-Hussein-dev/card-with-lines-patter"	,	npx shadcn@latest add "https://21st.dev/r/ayushmxxn/feature-section"	,	npx shadcn@latest add "https://21st.dev/r/Codehagen/display-cards"	,	npx shadcn@latest add "https://21st.dev/r/serafimcloud/feature-section-with-bento-grid"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/feature-section-with-hover-effects"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/feature-section-with-bento-grid"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/bento-grid"	  		  		 		  		 		 		
Footer 	,	npx shadcn@latest add "https://21st.dev/r/arihantcodes/large-name-footer"	,	npx shadcn@latest add "https://21st.dev/r/danielpetho/underline-animation"	,	npx shadcn@latest add "https://21st.dev/r/arihantcodes/stacked-circular-footer"	,	npx shadcn@latest add "https://21st.dev/r/arihantcodes/footer-section"	,	npx shadcn@latest add "https://21st.dev/r/magicui/retro-grid"	,	npx shadcn@latest add "https://21st.dev/r/serafimcloud/social-links"	 		 		 		 		  		  		 		  		 		 		
Hero 	,	npx shadcn@latest add "https://21st.dev/r/kokonutd/hero-modern"	,	npx shadcn@latest add "https://21st.dev/r/anurag-mishra22/hero-section"	,	npx shadcn@latest add "https://21st.dev/r/kinfe123/hero-section-dark"	,	npx shadcn@latest add "https://21st.dev/r/jatin-yadav05/glowing-card"	,	npx shadcn@latest add "https://21st.dev/r/designali-in/canvas"	,	npx shadcn@latest add "https://21st.dev/r/serafimcloud/hero-with-mockup"	,	npx shadcn@latest add "https://21st.dev/r/mikolajdobrucki/hero-section"	,	npx shadcn@latest add "https://21st.dev/r/serafimcloud/splite"	,	npx shadcn@latest add "https://21st.dev/r/Codehagen/hero"	,	npx shadcn@latest add "https://21st.dev/r/danielpetho/gravity"	,	npx shadcn@latest add "https://21st.dev/r/danielpetho/scramble-hover"	,	npx shadcn@latest add "https://21st.dev/r/danielpetho/typewriter"	,	npx shadcn@latest add "https://21st.dev/r/danielpetho/random-letter-swap"	,	npx shadcn@latest add "https://21st.dev/r/danielpetho/letter-swap"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/lamp"	 		
Images 	,	npx shadcn@latest add "https://21st.dev/r/DavidHDev/grid-motion"	,	npx shadcn@latest add "https://21st.dev/r/fuma-nama/zoomable-image"	,	npx shadcn@latest add "https://21st.dev/r/DavidHDev/bounce-cards"	,	npx shadcn@latest add "https://21st.dev/r/ayushmxxn/3d-flip-card"	,	npx shadcn@latest add "https://21st.dev/r/cult-ui/3d-carousel"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/parallax-scroll"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/focus-cards"	,	npx shadcn@latest add "https://21st.dev/r/motion-primitives/animated-group"	 		 		  		  		 		  		 		 		
Maps 	,	npx shadcn@latest add "https://21st.dev/r/aceternity/world-map"	,	npx shadcn@latest add "https://21st.dev/r/magicui/globe"	 		  		 		 		 		 		 		 		  		  		 		  		 		 		
Navigation Menus 	,	npx shadcn@latest add "https://21st.dev/r/holetarget/21st-navbar"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/navbar-menu"	,	npx shadcn@latest add "https://21st.dev/r/shadcn/navigation-menu"	,	npx shadcn@latest add "https://21st.dev/r/shadcn/menubar"	,		 		 		 		 		 		  		  		 	 	  		 		 		
Pricing 	,	npx shadcn@latest add "https://21st.dev/r/vaib215/dark-gradient-pricing"	,	npx shadcn@latest add "https://21st.dev/r/kokonutd/pricing-table"	,	npx shadcn@latest add "https://21st.dev/r/Codehagen/pricing"	,	npx shadcn@latest add "https://21st.dev/r/originui/choose-plan-radio-group"	,		 		 		 		 		 		  		  		 								
Scroll Area 	,	npx shadcn@latest add "https://21st.dev/r/bundui/text-gradient-scroll"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/timeline"	,	npx shadcn@latest add "https://21st.dev/r/motion-primitives/scroll-progress"	  		 		 		 		 		 		 		  		  		 								
Testimonials 	,	npx shadcn@latest add "https://21st.dev/r/anurag-mishra22/testimonial"	,	npx shadcn@latest add "https://21st.dev/r/preetsuthar17/testimonial-card"	,	npx shadcn@latest add "https://21st.dev/r/serafimcloud/testimonials-with-marquee"	,	npx shadcn@latest add "https://21st.dev/r/ayushmxxn/testimonials"	,	npx shadcn@latest add "https://21st.dev/r/tommyjepsen/testimonials"	 		 		 		 		 		  		  										
Text 	,	npx shadcn@latest add "https://21st.dev/r/kokonutd/text-rewind"	,	npx shadcn@latest add "https://21st.dev/r/DavidHDev/gradient-text"	,	npx shadcn@latest add "https://21st.dev/r/danielpetho/variable-font-hover-by-random-letter"	,	npx shadcn@latest add "https://21st.dev/r/magicui/morphing-text"	,	npx shadcn@latest add "https://21st.dev/r/magicui/hyper-text"	,	npx shadcn@latest add "https://21st.dev/r/magicui/flip-text"	,	npx shadcn@latest add "https://21st.dev/r/magicui/word-rotate"	,	npx shadcn@latest add "https://21st.dev/r/magicui/typing-animation"	,	npx shadcn@latest add "https://21st.dev/r/magicui/gradual-spacing"	,	npx shadcn@latest add "https://21st.dev/r/aceternity/typewriter-effect"	,	npx shadcn@latest add "https://21st.dev/r/motion-primitives/text-effect"	  										
Video 	,	npx shadcn@latest add "https://21st.dev/r/magicui/shine-border"	,	npx shadcn@latest add "https://21st.dev/r/magicui/hero-video-dialog"	 		  		 		 		 		 		 		 		  		  										